time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1939-12-20T18:15:02.470Z,38.685,142.301,35,5.65,mw,,,,,iscgem,iscgem902272,2022-04-25T20:50:59.230Z,"66 km SE of ?funato, Japan",earthquake,,10,0.65,,reviewed,iscgem,iscgem
1939-12-06T18:00:02.480Z,37.664,142.293,25,5.65,mw,,,,,iscgem,iscgem902253,2022-04-25T20:50:51.429Z,"115 km E of Namie, Japan",earthquake,,12.7,0.35,,reviewed,iscgem,iscgem
1939-10-22T14:39:39.720Z,42.516,144.062,35,5.71,mw,,,,,iscgem,iscgem902199,2022-04-25T20:50:10.854Z,"57 km SSW of Kushiro, Japan",earthquake,,21.2,0.31,,reviewed,iscgem,iscgem
1939-10-10T18:31:59.240Z,38.513,143.07,20,7.41,mw,,,,,iscgem,iscgem902187,2022-04-25T20:49:58.178Z,"off the east coast of Honshu, Japan",earthquake,,13.3,0.34,,reviewed,iscgem,iscgem
1939-08-22T00:06:21.190Z,37.64,142.103,25,6.01,mw,,,,,iscgem,iscgem902124,2022-04-25T20:49:04.707Z,"98 km E of Namie, Japan",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem
1939-07-28T05:21:18.030Z,37.284,141.755,25,5.5,mw,,,,,iscgem,iscgem902092,2022-04-25T20:48:28.391Z,"70 km ESE of Namie, Japan",earthquake,,9.1,0.35,,reviewed,iscgem,iscgem
1939-07-28T01:06:24.110Z,37.332,141.806,25,5.4,mw,,,,,iscgemsup,iscgemsup902091,2022-05-09T16:54:43.632Z,"73 km ESE of Namie, Japan",earthquake,,9.1,0.55,,reviewed,iscgemsup,iscgemsup
1939-07-27T05:09:17.560Z,31.149,142.34,15,5.62,mw,,,,,iscgem,iscgem902089,2022-04-25T20:48:25.031Z,"Izu Islands, Japan region",earthquake,,17.5,0.2,,reviewed,iscgem,iscgem
1939-07-13T17:05:12.640Z,26.938,143.265,20,5.93,mw,,,,,iscgem,iscgem902073,2022-04-25T20:48:11.803Z,"Bonin Islands, Japan region",earthquake,,25,0.33,,reviewed,iscgem,iscgem
1939-05-07T07:10:43.880Z,29.985,142.73,15,5.65,mw,,,,,iscgem,iscgem901943,2022-04-25T20:45:45.301Z,"Izu Islands, Japan region",earthquake,,13.1,0.65,,reviewed,iscgem,iscgem
1939-05-01T16:05:51.800Z,39.978,139.771,10,6.64,mw,,,,,iscgem,iscgem901923,2022-04-25T20:45:33.702Z,"18 km WNW of Tenn?, Japan",earthquake,,2.2,0.21,,reviewed,iscgem,iscgem
1939-05-01T11:50:34.300Z,39.911,139.734,15,5.91,mw,,,,,iscgem,iscgem901922,2022-04-25T20:45:32.164Z,"19 km W of Tenn?, Japan",earthquake,,4,0.36,,reviewed,iscgem,iscgem
